productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
YMC-YMC-Triart-C18-30x1.0-1.9um,YMC-Triart-C18-30x1.0-1.9um,YMC,YMC-Triart C18 30x1.0mm 1.9µm,YMC-Triart C18 30x1.0mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 30 x 1.0 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-30x1.0-1.9um,1.9,120,30,1.0,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-30x2.1-1.9um,YMC-Triart-C18-30x2.1-1.9um,YMC,YMC-Triart C18 30x2.1mm 1.9µm,YMC-Triart C18 30x2.1mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 30 x 2.1 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-30x2.1-1.9um,1.9,120,30,2.1,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-30x3.0-1.9um,YMC-Triart-C18-30x3.0-1.9um,YMC,YMC-Triart C18 30x3.0mm 1.9µm,YMC-Triart C18 30x3.0mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 30 x 3.0 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-30x3.0-1.9um,1.9,120,30,3.0,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-30x4.6-1.9um,YMC-Triart-C18-30x4.6-1.9um,YMC,YMC-Triart C18 30x4.6mm 1.9µm,YMC-Triart C18 30x4.6mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 30 x 4.6 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-30x4.6-1.9um,1.9,120,30,4.6,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-50x1.0-1.9um,YMC-Triart-C18-50x1.0-1.9um,YMC,YMC-Triart C18 50x1.0mm 1.9µm,YMC-Triart C18 50x1.0mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 50 x 1.0 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-50x1.0-1.9um,1.9,120,50,1.0,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-50x2.1-1.9um,YMC-Triart-C18-50x2.1-1.9um,YMC,YMC-Triart C18 50x2.1mm 1.9µm,YMC-Triart C18 50x2.1mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 50 x 2.1 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-50x2.1-1.9um,1.9,120,50,2.1,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-50x3.0-1.9um,YMC-Triart-C18-50x3.0-1.9um,YMC,YMC-Triart C18 50x3.0mm 1.9µm,YMC-Triart C18 50x3.0mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 50 x 3.0 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-50x3.0-1.9um,1.9,120,50,3.0,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-50x4.6-1.9um,YMC-Triart-C18-50x4.6-1.9um,YMC,YMC-Triart C18 50x4.6mm 1.9µm,YMC-Triart C18 50x4.6mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 50 x 4.6 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-50x4.6-1.9um,1.9,120,50,4.6,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-75x2.1-1.9um,YMC-Triart-C18-75x2.1-1.9um,YMC,YMC-Triart C18 75x2.1mm 1.9µm,YMC-Triart C18 75x2.1mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 75 x 2.1 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-75x2.1-1.9um,1.9,120,75,2.1,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-75x3.0-1.9um,YMC-Triart-C18-75x3.0-1.9um,YMC,YMC-Triart C18 75x3.0mm 1.9µm,YMC-Triart C18 75x3.0mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 75 x 3.0 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-75x3.0-1.9um,1.9,120,75,3.0,C18,1,12,1-12,L1,600 bar,80°C
YMC-YMC-Triart-C18-75x4.6-1.9um,YMC-Triart-C18-75x4.6-1.9um,YMC,YMC-Triart C18 75x4.6mm 1.9µm,YMC-Triart C18 75x4.6mm 1.9µm; Series: YMC-Triart; Specifications: Phase Type: C18; Particle Size: 1.9 µm; Pore Size: 120Å; Dimensions: 75 x 4.6 mm; pH Range: 1-12,active,https://www.ymc.co.jp/en/products/images/ymc-triart-c18.jpg,https://www.ymc.co.jp/products/ymc-triart-c18-75x4.6-1.9um,1.9,120,75,4.6,C18,1,12,1-12,L1,600 bar,80°C
