productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
THER-Filter-PTFE-0.1um-4mm,Filter-PTFE-0.1um-4mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.1µm 4mm,PTFE Syringe Filter 0.1µm 4mm; Membrane: PTFE; Pore Size: 0.1µm; Diameter: 4mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.1um-4mm,,0.1,,,,,,,,,
THER-Filter-PTFE-0.1um-13mm,Filter-PTFE-0.1um-13mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.1µm 13mm,PTFE Syringe Filter 0.1µm 13mm; Membrane: PTFE; Pore Size: 0.1µm; Diameter: 13mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.1um-13mm,,0.1,,,,,,,,,
THER-Filter-PTFE-0.1um-15mm,Filter-PTFE-0.1um-15mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.1µm 15mm,PTFE Syringe Filter 0.1µm 15mm; Membrane: PTFE; Pore Size: 0.1µm; Diameter: 15mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.1um-15mm,,0.1,,,,,,,,,
THER-Filter-PTFE-0.1um-25mm,Filter-PTFE-0.1um-25mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.1µm 25mm,PTFE Syringe Filter 0.1µm 25mm; Membrane: PTFE; Pore Size: 0.1µm; Diameter: 25mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.1um-25mm,,0.1,,,,,,,,,
THER-Filter-PTFE-0.1um-33mm,Filter-PTFE-0.1um-33mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.1µm 33mm,PTFE Syringe Filter 0.1µm 33mm; Membrane: PTFE; Pore Size: 0.1µm; Diameter: 33mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.1um-33mm,,0.1,,,,,,,,,
THER-Filter-PTFE-0.2um-4mm,Filter-PTFE-0.2um-4mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.2µm 4mm,PTFE Syringe Filter 0.2µm 4mm; Membrane: PTFE; Pore Size: 0.2µm; Diameter: 4mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.2um-4mm,,0.2,,,,,,,,,
THER-Filter-PTFE-0.2um-13mm,Filter-PTFE-0.2um-13mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.2µm 13mm,PTFE Syringe Filter 0.2µm 13mm; Membrane: PTFE; Pore Size: 0.2µm; Diameter: 13mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.2um-13mm,,0.2,,,,,,,,,
THER-Filter-PTFE-0.2um-15mm,Filter-PTFE-0.2um-15mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.2µm 15mm,PTFE Syringe Filter 0.2µm 15mm; Membrane: PTFE; Pore Size: 0.2µm; Diameter: 15mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.2um-15mm,,0.2,,,,,,,,,
THER-Filter-PTFE-0.2um-25mm,Filter-PTFE-0.2um-25mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.2µm 25mm,PTFE Syringe Filter 0.2µm 25mm; Membrane: PTFE; Pore Size: 0.2µm; Diameter: 25mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.2um-25mm,,0.2,,,,,,,,,
THER-Filter-PTFE-0.2um-33mm,Filter-PTFE-0.2um-33mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.2µm 33mm,PTFE Syringe Filter 0.2µm 33mm; Membrane: PTFE; Pore Size: 0.2µm; Diameter: 33mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.2um-33mm,,0.2,,,,,,,,,
THER-Filter-PTFE-0.22um-4mm,Filter-PTFE-0.22um-4mm,Thermo Fisher Scientific,PTFE Syringe Filter 0.22µm 4mm,PTFE Syringe Filter 0.22µm 4mm; Membrane: PTFE; Pore Size: 0.22µm; Diameter: 4mm; Syringe Filter,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/filter-ptfe.jpg,https://www.thermofisher.com/products/filters/filter-ptfe-0.22um-4mm,,0.22,,,,,,,,,
